kod,nazwa,aktualizacjaData,kodEPA,kodEVA,kodPOS,typ,wymianaAglomeracja,kodAglomeracji,biletMiejski
36,Dzierżoniów Śl.,2026-05-25 04:00:02.676,5100345,5101035,54908,0,0,0,False
37,Elbląg,2026-05-25 04:00:02.625,5100020,5100253,8151,0,0,0,False
38,Ełk,2026-05-25 04:00:02.638,5100365,5100305,11809,0,0,0,False
0,Gdańsk (dowolna stacja),2024-04-17 06:00:03.507,0,5196018,0,1,0,0,False
40,Gdańsk Gł.,2026-05-25 04:00:02.663,5100022,5100009,7500,0,0,5,False
5150,Gdańsk Oliwa,2026-05-25 04:00:02.663,5100157,5101104,7583,0,0,5,False
5162,Gdańsk Wrzeszcz,2026-05-25 04:00:02.638,5100158,5101307,7534,0,0,5,False
41,Gdynia Gł.,2026-05-25 04:00:02.625,5100023,5100010,5900,0,0,0,False
42,Giżycko,2026-05-25 04:00:02.625,5100225,5100102,12609,0,0,0,False
43,Gliwice,2026-05-25 04:00:02.663,5100024,5100011,69708,0,0,0,False
44,Głogów,2026-05-25 04:00:02.625,5100025,5100012,42200,0,0,0,False
6117,Głogówek,2026-05-25 04:00:02.625,5100226,5101142,67462,0,0,0,False
410,Głowno,2026-05-25 04:00:02.625,5101067,5100326,46862,0,0,0,False
45,Gniezno,2026-05-25 04:00:02.651,5100026,5100013,30809,0,0,0,False
6129,Gogolin,2026-05-25 04:00:02.663,5100595,5101140,61903,0,0,0,False
506,Goleniów,2026-05-25 04:00:02.625,5100387,5100105,1404,0,0,0,False
4109,Goleszów,2026-05-25 04:00:02.663,5100377,5101277,76901,0,0,0,False
3079,Gorlice Zagórzany,2026-05-25 04:00:02.638,5100710,5101322,81703,0,0,0,False
1136,Gorzkowice,2026-05-25 04:00:02.625,5100504,5101324,47829,0,0,0,False
46,Gorzów Wlkp.,2026-05-25 04:00:02.663,5100027,5100014,13904,0,0,6,False
0,Gorzów Wlkp. (dowolna stacja),2024-04-17 06:00:03.507,0,5196022,0,1,0,6,False
8122,Gorzów Wlkp.Wsch.,2026-05-25 04:00:02.663,5101012,5104796,260653,0,0,6,False
1137,Gostynin,2026-05-25 04:00:02.638,5101103,5101279,32359,0,0,0,False
3080,Goszcza,2026-05-25 04:00:02.638,5101213,5101268,79350,0,0,0,False
6140,Grabowno Wielkie,2026-05-25 04:00:02.676,5100318,5101082,59543,0,0,0,False
433,Grajewo,2026-05-25 04:00:02.676,5100379,5101158,12252,0,0,0,False
1149,Grodzisk Maz.,2026-05-25 04:00:02.651,5100964,5101255,34165,0,0,0,False
48,Grudziądz,2026-05-25 04:00:02.676,5100159,5101296,20503,0,0,0,False
3085,Grybów,2026-05-25 04:00:02.663,5100382,5101264,81679,0,0,0,False
8134,Gryfice,2026-05-25 04:00:02.663,5100383,5100107,2170,0,0,0,False
507,Gryfino,2026-05-25 04:00:02.625,5100227,5100108,851,0,0,0,False
423,Hajnówka,2026-05-25 04:00:02.651,5101104,5101334,25403,0,0,0,False
51,Hel,2026-05-25 04:00:02.663,5100030,5101340,6791,0,0,0,False
2083,Hrubieszów Miasto,2026-05-25 04:00:02.651,5100830,5101344,66134,0,0,0,False
53,Iława Gł.,2026-05-25 04:00:02.625,5100161,5100075,21808,0,0,0,False
54,Inowrocław,2026-05-25 04:00:02.638,5100034,5100015,18705,0,0,0,False
0,Inowrocław (dowolna stacja),2024-04-17 06:00:03.507,0,5196016,0,1,0,0,False
5230,Inowrocław Rąb.,2026-05-25 04:00:02.638,5100597,5101362,18838,0,0,0,False
5231,Izbica,2026-05-25 04:00:02.663,5101062,5101366,254539,0,0,0,False
55,Jabłonowo Pom.,2026-05-25 04:00:02.625,5100162,5100113,20909,0,0,0,False
56,Jarocin,2026-05-25 04:00:02.651,5100035,5100016,44701,0,0,0,False
57,Jarosław,2026-05-25 04:00:02.651,5100163,5100233,83261,0,0,0,False
58,Jasło,2026-05-25 04:00:02.638,5100164,5100306,83410,0,0,0,False
3058,Jasło Fabryczne,2026-05-25 04:00:02.676,5101228,5106544,82909,0,0,0,False
59,Jastarnia,2026-05-25 04:00:02.663,5100036,5101385,6775,0,0,0,False
8145,Jastrowie,2026-05-25 04:00:02.663,5100412,5101471,16402,0,0,0,False
60,Jaworzno Szczak.,2026-05-25 04:00:02.638,5100165,5100213,73908,0,0,0,False
61,Jaworzyna Śląska,2026-05-25 04:00:02.651,5100033,5100077,54403,0,0,0,False
3098,Jedlicze,2026-05-25 04:00:02.663,5100414,5101396,83394,0,0,0,False
62,Jedlina-Zdrój,2026-05-25 04:00:02.663,5101192,5100114,55145,0,0,0,False
2096,Jędrzejów,2026-05-25 04:00:02.625,5100416,5100115,64451,0,0,0,False
6166,Jelenia G. Ciepl.,2026-05-25 04:00:02.638,5100417,5100165,56093,0,0,7,False
63,Jelenia Góra,2026-05-25 04:00:02.625,5100037,5100259,55806,0,0,7,False
64,Jurata,2026-05-25 04:00:02.638,5100038,5101478,6759,0,0,0,False
5254,Kaliska,2026-05-25 04:00:02.676,5100598,5101504,8995,0,0,0,False
65,Kalisz,2026-05-25 04:00:02.638,5100039,5100017,45245,0,0,0,False
66,Kalisz Pomorski,2026-05-25 04:00:02.638,5100529,5101519,15008,0,0,0,False
709,Kalwaria Zeb.Lanc,2026-05-25 04:00:02.676,5100440,5100118,78345,0,0,0,False
3105,Kamieńczyce,2026-05-25 04:00:02.663,5101219,5101674,79459,0,0,0,False
67,Kamieniec Ząbk.,2026-05-25 04:00:02.638,5100040,5100018,56408,0,0,0,False
68,Kamień Pomorski,2026-05-25 04:00:02.676,5100166,5100247,1651,0,0,0,False
71,Katowice,2024-09-05 11:59:17.777,5100042,5100020,73312,2,1,8,False
0,Katowice (dowolna stacja),2024-08-20 13:53:17.895,0,5196028,0,1,0,8,False
710,Katowice Ligota,2024-09-05 11:59:17.777,5100461,5101522,72900,2,1,8,False
72,Kędzierzyn-Koźle,2026-05-25 04:00:02.638,5100043,5100119,67009,0,0,0,False
903,Kępno,2026-05-25 04:00:02.651,5100045,5100023,45401,0,0,0,False
408,Kętrzyn,2026-05-25 04:00:02.638,5100443,5100120,10405,0,0,0,False
4162,Kęty,2026-05-25 04:00:02.625,5100464,5101588,76232,0,0,0,False
73,Kielce Główne,2026-05-25 04:00:02.676,5100044,5100022,63552,0,0,0,False
2108,Klimontów,2026-05-25 04:00:02.651,5101221,5101613,64352,0,0,0,False
0,Kłodzko (dowolna stacja),2025-10-07 00:31:47.044,0,5196183,0,1,1,9,False
75,Kłodzko Gł.,2025-10-07 00:31:47.089,5100046,5101564,57307,2,1,9,False
6191,Kłodzko Miasto,2025-10-07 00:31:47.069,5100445,5101567,57463,2,1,9,False
74,Kluczbork,2026-05-25 04:00:02.638,5100229,5100236,61200,0,0,0,False
4173,Kochanowice,2026-05-25 04:00:02.651,5100315,5101550,71571,0,0,0,False
3118,Kolbuszowa,2026-05-25 04:00:02.638,5100467,5101540,82974,0,0,0,False
77,Koło,2026-05-25 04:00:02.638,5100167,5100258,33191,0,0,0,False
78,Kołobrzeg,2026-05-25 04:00:02.638,5100048,5100025,4101,0,0,0,False
